image,caption
Jewish Community Center LCCN2016825805 (47d1fee4).jpg,"The image is a black and white photograph of an empty room with a large stage in the center. The stage is covered with a black curtain and has a white railing around it. The walls are painted in a light color and there are two large windows on either side of the stage. The floor is made of wooden planks and the ceiling is high and ornate. The room appears to be empty, with no furniture or decorations visible. The overall mood of the image is grand and elegant."
Leon Freeman & baby Verna LCCN2016820506 (06a02d30).jpg,"The image is a black and white photograph of a man holding a baby in his arms. The man is wearing a white collared shirt and a tie, and he is smiling at the camera. The baby is wrapped in a white dress and is looking up at the man with a peaceful expression on its face. The background is blurred, but it appears to be a park or garden with trees and a building visible in the distance. The photograph is framed by a black border."
"Sham battle, Camp Meade LCCN2016828652 (4de680ca).jpg","The image is a black and white photograph of a large explosion in a field. The explosion appears to be taking place in the middle of a field, with a large cloud of white smoke rising from the ground. The smoke is billowing up into the air and is covering the entire frame of the image. In the background, there are fields and trees, and the sky is visible above. The photograph is taken from a low angle, looking up at the explosion."
Henri Braugard LCCN2016819561 (457944cf).jpg,"The image is a black and white portrait of a man in a military uniform. He is wearing a coat and a hat with a wide brim. The man is looking directly at the camera with a serious expression on his face. He appears to be in his late twenties or early thirties. The background is blurred, but it seems to be an outdoor setting with a building visible in the distance. The image is framed by a thin black border."
"Senator Geo. E. Chamberlain, Oregon, (9-16-19) LCCN2016844737 (be981506).jpg","The image is a black and white photograph of a man standing next to a vintage car. The man is wearing a suit and a hat, and is holding the steering wheel with both hands. He is standing on a street with trees and a building in the background. The car appears to be a two-seater model, with a large front wheel and a smaller rear wheel. The license plate on the car is visible, and the man is looking at the camera with a serious expression."
"Statue on top of Capitol, (Washington, D.C.) LCCN2016823772 (a1b68208).jpg","The image is a black and white photograph of three men standing on top of a building. The man in the center is wearing a large headdress with feathers and a star on top. He has a serious expression on his face and is looking directly at the camera. The two men on either side of him are wearing hats and jackets, and one of them is holding a cane. The background shows a cityscape with buildings and trees. The photograph appears to be from the early 20th century."
Bears at zoo LCCN2016820237 (f4a4b0d1).jpg,"The image is a black and white photograph of a cage in a zoo. The cage is made of metal bars and is enclosed by a stone wall. Inside the cage, there are several animals, including a bear, a rabbit, and a bird. The bear is lying on its back with its head resting on a rock, while the rabbit is standing on its hind legs. There is also a small pool of water in front of the cage. The animals appear to be sleeping or resting."
Nat. Women's Defense League shown Josephus Daniels LCCN2016822922 (fc4ffce6).jpg,"The image is a black and white photograph of a group of people standing in a field. There are four people in the image, two men and two women, all dressed in military uniforms. The man in the center is wearing a suit and tie and is holding a cane. He appears to be speaking to the two women on either side of him. The woman on the left is also wearing a hat and a coat, and the man on the right is looking at the man with a serious expression.

The background of the image shows a crowd of people, some of whom are also wearing hats and coats. The ground is covered in dirt and there are trees in the distance. The image appears to have been taken during the day, as there is a large amount of dust or debris scattered around the group."
Robt. Lansing LCCN2016821442 (b9de1495).jpg,"The image is a black and white portrait of a man. He is wearing a suit and tie, with a collared shirt underneath. He has a mustache and short, neatly combed hair. The man is looking directly at the camera with a serious expression on his face. The background is blurred, so the focus is on the man's face."
Harriet Taylor Upton 1923b (e615067e).jpg,"The image is a black and white photograph of an elderly woman sitting at a desk. She is wearing a long-sleeved blouse and trousers, and her hair is pulled back in a bun. She has a serious expression on her face and is looking directly at the camera. The desk is cluttered with papers, books, and other office supplies. There is a vase of flowers on the desk next to her. The background is a plain wall with a window. The photograph appears to be from the early 20th century."
"Kenmore dedication at Fredericksburg, Va., 5-9-25 LCCN2016839804 (fa43c97e).jpg","The image is a black and white photograph of a group of people gathered on a sidewalk. There are four people in the photo, three women and one man, all dressed in formal attire. The woman on the left is wearing a long dress with a high neckline and long sleeves, while the woman in the middle is sitting on a chair with a hat on her head. The man on the right is standing behind her, wearing a suit and tie. Behind them, there is a large crowd of people, some of whom are wearing hats and coats. The crowd appears to be of different ages and ethnicities. The background shows trees and a building, suggesting that the photo was taken in a park or garden. The photograph appears to have been taken in the early 20th century."
"Albin G. Anderson of Detroit Union Printers, 8-24-25 LCCN2016840435 (2b36aeb7).jpg","The image is a black and white photograph of a baseball player walking on the field. The player is wearing a baseball uniform with the word ""BOSTON"" written across the chest and a cap on his head. He is holding a baseball glove in his left hand and appears to be in the middle of throwing a pitch. The background shows empty seats in the stands and a sign that reads ""Lightning."" The photograph is taken from a low angle, looking up at the player with a serious expression on his face."
Madam & John Sirmopoulos mailing letter to Santa LCCN2016841561 (c5e54c4d).jpg,"The image is a black and white photograph of a woman and a child standing on a street corner. The woman is wearing a long coat and a hat, and is holding the child in her arms. The child is standing next to a post box with the word ""US"" written on it. The post box is attached to a pole and there is a street lamp on the right side of the image. In the background, there are trees and a building. The photograph appears to be from the early 20th century."
"S.S. Kresge Store, 6th St., Washington, D.C.) bldg LCCN2016824805 (5c510b1f).jpg","The image is a black and white photograph of a large, two-story building on a street corner. The building appears to be a hotel or apartment complex, with multiple floors and large windows. The exterior of the building is made of stone and has a pediment on the top. There are several balconies on the second floor, and a balcony on the third floor. The street is lined with shops and restaurants, and there are a few people walking on the sidewalk. The sky is overcast, and the overall mood of the image is somber."
"Dwight Davis & Gen. J.L. Hines, Gen. Patrick & Gen. Drum, (9-21-25) LCCN2016840798 (b5afd41b).jpg","The image is a black and white photograph of four men walking out of a building. The building appears to be a government building with a large entrance. The men are dressed in formal attire, with suits and hats, and are walking on a tiled floor. They are all wearing military uniforms, with the man on the left wearing a suit and tie, the man in the middle wearing a hat, and the two men on the right wearing suits and caps. All four men appear to be in their late twenties or early thirties. The photograph appears to have been taken in the early 20th century."
"Count & Countess Emilio Pagliano of Italy, 5-25-26 LCCN2016842183 (d23dce52).jpg","The image is a black and white photograph of a man and a woman walking on a sidewalk in front of a building. The man is wearing a suit and tie and is holding a piece of paper in his hand, while the woman is walking beside him. They are both dressed in formal attire, with the woman wearing a long dress and the man wearing a blazer and trousers. The building behind them has large windows and a staircase leading up to it. There are bushes and a fence on the right side of the image. The photograph appears to be from the early 20th century."
"Dwight Davis, Pres. Coolidge, & Sec. Wilbur at Tomb of Un. Sol., 11-11-24 LCCN2016838875 (22170021).jpg","The image is a black and white photograph of a group of men standing in front of a large building with columns. The building appears to be a government building with a grand entrance and large windows. The men are dressed in formal attire, with some wearing suits and others wearing hats. They are standing on a set of stairs leading up to the entrance of the building.

In the center of the image, there is a large wreath of white flowers on a white pedestal. The wreath is placed on top of the pedestal and is surrounded by a crowd of people. On either side of the wreath, there are several men in military uniforms, some of whom are saluting and others are holding rifles. The image appears to have been taken at a formal event or ceremony."
Newton(?) Van Buren LCCN2016824637 (2b1a8f9d).jpg,"The image is a black and white photograph of a man sitting at a desk. He is wearing a suit and tie and is looking directly at the camera with a serious expression on his face. The desk is cluttered with papers, books, and other office supplies. The man appears to be in his late twenties or early thirties and is sitting in front of a window with a view of a city skyline in the background. The photograph is framed by a door on the right side of the image."
"Senators Fernald and Hale of Me., (2-19-25) LCCN2016850096 (45a62347).jpg","The image is a black and white photograph of two men standing side by side on a sidewalk. They are both wearing formal attire, with the man on the left wearing a long coat and a hat, and the man in the middle wearing a suit and tie. Both men are holding walking sticks and appear to be engaged in conversation. The background shows a park or garden with trees and bushes. The photograph appears to be from the early 20th century."
White House photographers eating on lawn of the White House LCCN92514781 (523863cb).jpg,"The image is a black and white photograph of a group of men sitting on a grassy lawn in front of a large white building. The men are dressed in formal attire, with some wearing suits and hats, and others wearing suits. They are all holding plates of food and appear to be enjoying themselves. There are a few people standing in the background, some of them are holding plates and cups, while others are sitting on benches. The building behind them has columns and arches, and there are trees and bushes surrounding it. The photograph appears to be from the early 20th century."
"Pan American Union, O'Higgins Statue, (Washington, D.C.) LCCN2016823281 (c95e53d2).jpg","The image is a black and white photograph of a bust of a man. The bust is mounted on a white pedestal with a marble base. The man is wearing a military uniform with a high collar and cuffs. He has short, curly hair and is looking directly at the camera with a serious expression. The background is a plain white wall. The photograph appears to be framed in a black frame."
"Graham Bros. Fussel trucks, (Washington Monument, Washington, D.C., in background) LCCN2016825049 (c1b9cf06).jpg","The image is a black and white photograph of the Washington Monument in Washington, DC. The monument is tall and obelisk-like, with a clear sky in the background. In the foreground, there is a line of four vintage cars parked on a snow-covered road. The cars are black and appear to be old-fashioned, with some of them having a flatbed trailer attached to the back. The road is lined with trees and shrubs, and there are a few buildings visible in the distance. The photograph appears to be taken during the winter season."
"Burial of Lt. Lansdowne, (9-8-25) LCCN2016840687 (cbb9feb3).jpg","The image is a black and white photograph of a group of men standing around a large wreath. The wreath is made of wreaths and is placed on a pedestal. The men are dressed in formal attire, with some wearing suits and others wearing hats. The man in the center of the image is holding a large American flag and appears to be placing it on top of the wreath, while the others are looking at it attentively. The background shows a crowd of people, some of whom are standing and some are sitting. The photograph appears to have been taken at a funeral or memorial service."
"Capt. A.L. Willard, 7-8-21 LOC npcc.04552 (8b400aea).jpg","The image is a black and white photograph of a man in a formal attire. He is standing in front of a building with large windows and appears to be in his late twenties or early thirties. The man is wearing a blazer, trousers, and a cap with a badge on it. He has a serious expression on his face and is looking directly at the camera. The photograph is framed by a thin black border."
"M. Albert Thomas, 1-9-23 LOC npcc.07639 (b99842e7).jpg",The image is a black and white photograph of a man sitting at a desk. He is wearing a suit and tie and has a beard and glasses. He has a serious expression on his face and is looking directly at the camera. The desk is cluttered with papers and a lamp is visible in the background. The photograph appears to be from the early 20th century.
"Col. Wm. Mitchell before Navy board on Shenandoah disaster, 10-7-25 LCCN2016850605 (016f7692).jpg","The image is a black and white photograph of a large room with a group of men sitting at long tables. The room appears to be a conference room with large windows and a ceiling fan. The men are dressed in formal attire, with some wearing suits and others wearing ties.

In the center of the room, there is a man in a suit and tie standing at a podium and speaking into a microphone. He is wearing a suit jacket and tie and is gesturing with his hands as he speaks. To his left, there are several men sitting in chairs, some of whom are looking at him attentively. On the right side of the image, another man is standing at the podium and appears to have a serious expression on his face. In front of him, another person is sitting at a desk with papers, books, and other documents spread out in front of them. The overall mood of the photograph is serious and professional."
"Vogue car, 1920 LCCN2016852330 (0f66aa19).jpg","The image is a black and white photograph of a vintage car parked on a street with the Washington Monument in the background. The car appears to be a two-seater model with a curved roof and a large front grille. It is parked on the side of the road with trees and bushes on either side. The sky is overcast and the water can be seen in the distance. The photograph is taken from a low angle, looking up at the car and the monument."
"Capt. H.A. Campbell (M.C.J. Cent.) with (C) Asst. Secty. Navy for AviationEd. P. Warner (L), 10-16-26 LCCN2016842641 (1cc76dd7).jpg","The image is a black and white photograph of three men standing together and holding a large trophy. The man in the middle is holding the trophy with both hands and is wearing a suit and tie. He is flanked by two other men on either side of him. All three men are smiling and appear to be posing for the photo. The background is blurred, but it appears to be a park or garden with trees and bushes. The photograph is likely from the early 20th century."
"L. Sewell, Cleveland, 1924 LOC npcc.11160 (29960118).jpg","The image is a black and white portrait of a young man wearing a baseball cap with the letter ""C"" on it. He is wearing a collared shirt and appears to be in his late twenties or early thirties. The man is looking directly at the camera with a serious expression on his face. The background is blurred, but it seems to be a baseball stadium with spectators in the stands. The image is framed by a thin black border."
Representative Foster LCCN2016847302 (9927c79a).jpg,"The image is a black and white photograph of an office space. It appears to be an old-fashioned office with a desk and a large American flag hanging on the wall. On the left side of the image, there is a woman standing at a desk with a typewriter in front of her. She is wearing a long dress and has her hair styled in an updo. Next to her, there are two men sitting at a table, one of them is holding a piece of paper and the other is looking at the typewriter. The man sitting at the desk is a man wearing a suit and tie, and he is sitting on a chair with his legs crossed. The other man is sitting in a chair next to the desk. There are several framed pictures hanging on both walls, including a portrait of a man in a top hat and a picture of a woman in a dress. The room is decorated with plants and other office supplies."
"Coolidge at cornerstone laying of Jewish Community Center, 5-3-25 LCCN2016839973 (b2cc3638).jpg","The image is a black and white photograph of a large crowd of people gathered in a park. The crowd is made up of both men and women, and they are all dressed in formal attire. In the center of the image, there is a man standing at a podium and speaking into a microphone. He is wearing a suit and tie and appears to be giving a speech. Behind him, there are several flags and plants, and a group of musicians playing instruments. The people in the crowd are standing on either side of the podium, and there are trees and buildings in the background. The photograph appears to have been taken from a high angle, looking down on the crowd."
General H.K. Bethel LCCN2016822013 (83b86ca8).jpg,The image is a black and white portrait of a man in a military uniform. He is sitting on a chair with his legs crossed and his hands resting on his lap. The man is wearing a dark suit with a high collar and a belt with a buckle. He has a serious expression on his face and is looking directly at the camera. The background appears to be a room with a window on the left side of the image.
Sen. Ovington Weller of MD LOC npcc.03746 (1d416494).jpg,"The image is a black and white photograph of a man on a horse. The man is wearing a suit and a hat, and is sitting on the back of the horse. He is holding the reins in his hands and appears to be in the middle of a ride. The horse is standing on a street with trees and buildings in the background. The photograph appears to have been taken in the early 20th century."
"Detail, Indian group at White House, 6-8-23 LCCN2016848125 (cropped) (a5892733).jpg","The image is a black and white photograph of a group of Native American men posing for a group photo. The men are dressed in traditional Native American clothing and headdresses, with feathers and feathers covering their heads and shoulders. They are standing and sitting on a grassy field, with trees in the background. Some of the men are standing while others are sitting on the ground. They appear to be posing for the photo, with some standing and others kneeling. The overall mood of the image is somber and contemplative."
Coolidge with Natl. Cooperative Marketing Conference at W.H. LCCN2016839094 (a553313a).jpg,"The image is a black and white photograph of a group of men standing in front of a building. The men are all dressed in formal attire, with some wearing suits and hats. They are standing in a line, facing the camera, and appear to be posing for the photo. The building behind them has a large archway and two lanterns on either side. The photograph appears to be from the early 20th century."
Where sacks are opened and the sugar starts on its journey of refinement LCCN2016824485 (14867dee).jpg,"The image is a black and white photograph of a group of people working in a factory. The factory appears to be old and dilapidated, with large machinery and machinery hanging from the ceiling. There are several workers in the image, some standing and some sitting on the floor, working on a large machine. The machine is made of metal and has a large wheel on the right side. There is a wooden barrel on the left side of the image and a large window on the far wall. The floor is covered in dirt and grime, and there are several pipes and wires running along the walls. The overall atmosphere of the factory is chaotic and disorganized."
Harding in Alaska LOC npcc.09204 (088a1510).jpg,"The image is a black and white photograph of two men walking on a wooden bridge. The bridge appears to be made of wood and has a railing on one side. The men are dressed in formal attire, with one wearing a suit and the other wearing a hat. They are walking side by side, with the man in the suit leading the way. Behind them, there are several other men on the bridge, some of whom are also wearing suits and hats. In the background, there is a body of water with a boat visible in the distance. The sky is overcast and the overall mood of the image is somber."
"Sect. Davis at Miami, (Florida), 3-12-23 LCCN2016852517 (7f707fb7).jpg","The image is a black and white photograph of a man standing on a sandy beach. He is wearing a sleeveless swimsuit and is standing with his hands on his hips. He has short, light-colored hair and is looking directly at the camera with a slight smile on his face. In the background, there are other people on the beach and the ocean can be seen in the distance. The photograph appears to be from the early 20th century."
"Chas. Swem, Nathan Behrin, and Solomon Powsner (Shorthand Rep. Con.), (8-20-24) LOC npcc.11967 (999ee864).jpg",The image is a black and white photograph of three men sitting at a round wooden table. They are all wearing suits and ties and appear to be in a formal setting. The table is in front of a brick building with a window and a door visible in the background. The men are sitting close together and are looking directly at the camera. They have serious expressions on their faces and are holding papers or documents in their hands. The photograph appears to be from the early 20th century.
"David Lynn, 6-20-23 LCCN2016847694 (0aa0ca53).jpg","The image is a black and white photograph of a man standing on a balcony. He is wearing a suit and a hat, and is looking off to the side with a serious expression on his face. The balcony has a concrete railing and there are trees and a building in the background. The sky is overcast and the overall mood of the image is somber."
A. Mitchell Palmer & Mary Dixon Palmer LCCN2016851923 (4aa1ec87).jpg,"The image is a black and white photograph of a man and a woman standing side by side. The man is on the left side of the image, wearing a long coat and a hat, and is holding a cane in his left hand. He is looking down at the woman with a serious expression on his face. The woman is standing next to him, with her hand on his hip and her head tilted slightly to the side. She is wearing a dress with a high neckline and long sleeves, and a large hat with a wide brim. Both the man and the woman appear to be dressed in formal attire. The background is plain and the photograph appears to be old and faded."
"Shriners Parade, Washington, D.C.) Aahmes, Oakland, Cal., 5-6-23 (i.e., 6-5-23 LCCN2016826899 (ae67a47c).jpg","The image is a black and white photograph of a parade on a street. The parade is taking place in front of a large building with a sign that reads ""Hotel Occidental Restaurant."" The building appears to be a hotel or restaurant, as there is a large clock tower visible in the background.

In the center of the image, there are several people walking on the street, some of them are carrying flags and banners. The people are dressed in formal attire, with some wearing hats and others wearing suits. The street is lined with trees and there are a crowd of people watching the parade. The sky is overcast and the overall mood of the photograph is somber."
"Site of mass burning of 250 Polish and French slave laborers at Nazi camp near Leipzig on April 19, 1945, the day before the city was captured by 69th Inf. Div. First U.S. Army. The victims LCCN90709903 (14567e8e).jpg","The image is a black and white photograph of a construction site. The site appears to be under construction, as there are several buildings and structures scattered around the area. In the center of the image, there is a large pile of rubble and debris, with a few people working on it. On the left side of the photo, there are a few buildings and a fence, and on the right side, there appears to have a small building with a sloping roof. The sky is overcast and there are power lines running across the image.

In the foreground, a man is standing on the ground, holding a flagpole with a white flag attached to it. He is wearing a hat and a long coat, and is looking towards the camera. There are several buckets and other construction materials scattered around him, and a few other people can be seen in the background."
"Howard Figg, Food Administrator LCCN2016823336 (2ecb95b7).jpg","The image is a black and white photograph of a man sitting at a desk. He is wearing a suit and tie and has a serious expression on his face. The desk is cluttered with papers and a book, and there is a tall filing cabinet in the background. The man appears to be in his late twenties or early thirties. The photograph is taken from a low angle, looking directly at the camera."
"Star lobby, Wash. Star, Wash., D.C. LCCN2016823966 (0271cb04).jpg","The image is a black and white photograph of a long line of people standing in a large room with high ceilings and ornate decorations. The room appears to be a library or a museum, as there are bookshelves and a clock on the wall. The people are dressed in formal attire, with some wearing hats and coats, and some wearing coats and hats. They are standing in front of a desk with a computer monitor and other items on it. The floor is made of marble, and there are several paintings hanging on the walls. The overall atmosphere of the room is grand and opulent."
"Dr. R. Sayers, 5-23-23 LCCN2016847594 (a4ef34ca).jpg","The image is a black and white portrait of a man sitting at a desk. He is wearing a suit and tie and is looking directly at the camera with a serious expression on his face. The desk is cluttered with papers and other office supplies. The background is blurred, but it appears to be a room with a window and a door. The man is sitting on a chair with his legs crossed and his hands resting on the desk."
American warehouses in France LCCN2016826494 (8ee5d5d5).jpg,"The image is a black and white photograph of a large industrial area. The photo appears to be taken from a high vantage point, looking down on the factory floor. The factory is made up of several large buildings with sloping roofs and large windows. There are several workers and machinery scattered throughout the area, including a large crane on the right side of the image. The sky is overcast and there are trees in the background. The overall mood of the photo is bleak and industrial."
"C.U. group, 24-25 LOC npcc.12130 (01fb5a51).jpg","The image is a black and white photograph of a group of young men in a line on a grassy field. They are all wearing casual clothes and appear to be in the middle of a workout or exercise routine. The men are arranged in a pyramid-like formation, with their arms and legs stretched out in front of them. The background shows trees and a clear sky. The photograph appears to be from the early 20th century."
Wardman Parks pool LOC npcc.08714 (14fdc389).jpg,"The image is a black and white photograph of a group of young women sitting on the edge of a swimming pool. They are all wearing swimsuits and swim caps, and some are holding umbrellas. The pool is surrounded by a brick building with a sign that reads ""Shallow End."" There are also some plants and trees in the background. The women are smiling and appear to be posing for the photo. The photograph appears to be from the early 20th century."
"H.E. Pellow, (8-23-22) LOC npcc.06948 (29ce14a9).jpg","The image is a black and white photograph of an elderly man sitting on a wooden chair on a staircase. He is wearing a suit and has a long white beard and mustache. He appears to be deep in thought, with his hands clasped together in front of him and a hat resting on the armrest of the chair. The background shows a set of stairs with a railing on the left side. The photograph is taken from a low angle, looking up at the man with a serious expression on his face."
"Miss Jesse Masters, 12-22-20 LOC npcc.03243 (019c3eab).jpg","The image is a black and white photograph of a woman sitting on a stone wall. She is wearing a large hat with a wide brim and a fur stole draped over her shoulders. She has a smile on her face and is looking off to the side. The wall behind her is made of stone and has intricate carvings on it. There are two arches on either side of the wall and a few people can be seen in the background. The photograph appears to be taken from a low angle, looking up at the woman."
"F.D. Scott, Mich. LCCN2016845058 (69c9f361).jpg","The image is a black and white portrait of a man sitting in a chair. He is wearing a suit and tie and is looking directly at the camera with a slight smile on his face. The background is blurred, but it appears to be a room with a window and a door visible. The man is sitting with his legs crossed and his hands resting on his lap. He has short, neatly combed hair and is bald. The photograph is framed with a thin black border."
"Grosvenor M. Jones, 3-6-22 LCCN2016846105 (b45d20a2).jpg","The image is a black and white portrait of a man sitting in a chair. He is wearing a suit and tie and is looking directly at the camera with a serious expression on his face. The background is blurred, but it appears to be a room with a bookshelf and a door visible. The man is sitting with his legs crossed and his hands resting on his lap. The image is framed by a thin black border."
"Life saving device, 8-17-22 LOC npcc.06874 (a06d1a8f).jpg","The image is a black and white photograph of a large group of people in a swimming pool. The pool appears to be crowded with people, some of whom are standing and some are sitting in the water. In the center of the image, there is a young woman wearing a swimsuit and a hat, holding an inflatable raft. She is smiling and seems to be enjoying herself. Behind her, there are several other people in the pool, some are also smiling and looking at the camera. The background shows a large crowd of spectators, some sitting and some standing, with a building visible in the distance. The image appears to have been taken in the early 20th century."
"Bobby Jones, Coolidge, 7-21-21 LOC npcc.04637 (e967bfff).jpg","The image is a black and white photograph of two men standing side by side on a dirt field. The man on the left is wearing a suit and a hat, and is holding a cane in his right hand. He is looking at the other man with a smile on his face. The other man is standing next to him, wearing a white shirt and shorts. They appear to be engaged in a conversation. In the background, there are trees and a fence, suggesting that they are on a golf course. The photograph appears to be from the early 20th century."
"Mr. and Mrs. J.G. Bessori, 9-13-20 LCCN2016828679 (258d8e20).jpg","The image is a black and white photograph of a man and a woman standing next to a vintage car on a street. The car appears to be a 1930s model, with a large front grille and a curved roof. The man is wearing a hat and a suit, while the woman is dressed in a long skirt and a blouse. They are both smiling and looking at the camera. Behind them, there is a building with columns and a street lamp. The photograph is taken from a low angle, looking up at the car."
Preparedness Day parade LCCN93513285 (07d658c4).jpg,"The image is a black and white photograph of a group of people walking on a street in front of a large white building with columns. The building appears to be a government building, possibly the White House, as there are several flags flying from the roof. The people in the photograph are dressed in formal attire, with some wearing hats and others wearing suits. They are walking in a line, with their backs to the camera.

In the center of the image, there is a large archway decorated with American flags and wreaths. The archway is covered with a canopy, and there are a few people standing on either side of it. The sky is overcast, and the overall mood of the photograph is somber."
"Lincoln Memorial, 7-16-26 LCCN2016842351 (ca496328).jpg","The image is a black and white photograph of a group of children in the water with their arms raised in the air. They are all wearing swimsuits and appear to be having fun. In the center of the image, there is a small sailboat with a white sail. The boat is floating on the water and there are trees and a building in the background. The sky is overcast and the water is calm. The children are smiling and seem to be enjoying themselves."
"Eastern High, (3-1-23) LOC npcc.07868 (0d5d9d95).jpg","The image is a black and white photograph of a large group of people gathered in front of a building. The building appears to be a school or college, as there is a clock tower on the right side of the image. The people are dressed in formal attire, with some wearing hats and others wearing coats. The crowd is gathered on a street, and there are several flags flying in the background. The sky is overcast, and the overall mood of the photograph is somber."
Social Hygiene Society LOC npcc.07605 (d7b1a513).jpg,"The image is a black and white photograph of a sign that reads ""House of Detention Clinic"". The sign is rectangular in shape and has a white background with black text. The text is written in a serif font and is centered on the sign. Below the text, there is an illustration of a room with a desk, chair, and other medical equipment. The room appears to be a clinic or clinic, as there is a window on the left side of the sign and a door on the right side. The sign also has the words ""Mental and Medical Examinations"" written in black text at the bottom."
"Coolidge with Cap. Geo. Fried, 2-3-29 LCCN2016843327 (d021de0a).jpg","The image is a black and white photograph of a group of men and women standing in a line. They are all dressed in formal attire, with some wearing hats and others wearing coats. The men are standing in front of a chain-link fence, with trees and a building in the background. The women are standing behind the fence, and they are all looking at the camera. The photograph appears to be from the early 20th century."
"Miss Helen Colbert, 10-27-21 LOC npcc.05235 (82552489).jpg","The image is a black and white portrait of a woman. She is wearing a large hat with a wide brim and a feather on top. The hat is tilted slightly to the side and has a small feather attached to it. The woman has curly hair and is smiling at the camera. She appears to be in her late twenties or early thirties. The background is blurred, but it seems to be an outdoor setting with a building visible in the distance. The overall mood of the image is happy and relaxed."
"All American Health Conf. women, 12-10-20 LCCN2016852348 (239f3973).jpg","The image is a black and white photograph of a group of seven women standing on a sidewalk in front of a building. They are all dressed in formal attire, with the women wearing long dresses and hats. The women are standing in a line, facing the camera, and appear to be posing for the photo. The building behind them has a metal fence and a window with curtains. The photograph appears to be from the early 20th century."
"Mosque Sultana at Stanboul, (Turkey) LCCN2016825426 (2e4d49ac).jpg","The image is a black and white photograph of a busy street scene in Istanbul, Turkey. The focal point of the image is the iconic Blue Mosque, which is a large white building with a dome and two minarets. The mosque is surrounded by several other buildings, including a mosque with a minaret and a mosque dome. The sky is overcast and the street is filled with boats and people. The photograph appears to be taken from a low angle, looking up at the mosque and the surrounding buildings. The boats are moored on the water, and there are a few people walking on the street. The overall mood of the photograph is bustling and bustling."
"1st meeting of special aviation board at Capitol, 9-21-25 LCCN2016840803 (bb3c1fe9).jpg","The image is a black and white photograph of a group of men sitting around a long table in a conference room. The men are dressed in formal attire, with some wearing suits and others wearing ties. They are all looking towards the camera and appear to be engaged in a discussion. The room has a high ceiling with a chandelier hanging from it, and there is a bookshelf on the right side of the image. The walls are painted white and there are two framed pictures hanging on the wall. The photograph appears to be from the early 20th century."
"Sen. Walsh, 12-26-23 LOC npcc.10121 (fc111a8d).jpg","The image is a black and white photograph of a man digging a pile of rubble. He is wearing a suit and tie and appears to be in his late twenties or early thirties. The man is holding a shovel and is digging into the ground with it. In the background, there is a large pile of rocks and a building with a chimney. The sky is overcast and the overall mood of the image is somber."
"Lord Robert Cecil, (4-20-23) LOC npcc.08262 (0ecd4f96).jpg","The image is a black and white photograph of a man standing next to a vintage car on a street. The man is wearing a suit and tie and is holding a hat in his hand. He appears to be getting out of the car with a smile on his face. Behind him, there are two men in uniform, one of whom is standing on the sidewalk and the other is walking towards the car. The street is lined with buildings and there are other cars parked on the side of the road. The sky is overcast and the overall mood of the image is somber."
"Harding & cow punching hat, 6-24-21 LOC npcc.04434 (5534878a).jpg","The image is a black and white photograph of a group of people standing on a street. In the center of the image, there is a man wearing a suit and glasses, who appears to be in his late 60s or early 70s. He is standing with his hands on his head and is looking off to the side with a serious expression on his face. To his left, there are two other men, one of whom is wearing a tuxedo and the other wearing a top hat. Behind them, two women wearing hats can be seen walking on the street. The background shows a building with a balcony and a street lamp. The photograph appears to have been taken in the early 20th century."
"Davis, swimming, Moosehead LOC npcc.04610 (5e2eb6c5).jpg","The image is a black and white photograph of a group of people standing on a wooden bridge over a body of water. The bridge appears to be old and weathered, with wooden beams and railings. There are several people in the water, some of whom are standing on the bridge while others are in the shallow water below. Some of the people are holding hands and appear to be engaged in a playful activity. The sky is overcast and there are trees in the background. The photograph appears to have been taken in the early 20th century."
"Weeks & Lloyd George, 10-27-23 LOC npcc.09773 (e0f0db4a).jpg","The image is a black and white photograph of two elderly men standing side by side. They are both wearing long coats and appear to be in their late 60s or early 70s. The man on the left is older and has white hair, while the man in the middle is younger. They both have serious expressions on their faces and are looking off into the distance. In the background, there are trees and a building, suggesting that they are in a park or a garden. The photograph appears to be taken from a low angle, with the focus on the two men."
North Washington Realty Co. Silver Springs (Spring) Md. LCCN2016826386 (5368a369).jpg,"The image is a black and white photograph of a street scene. The photograph is taken from a low angle, looking down the street towards a small building on the left side of the image. The building appears to be a small, rectangular structure with a sloping roof and a chimney. There are several power lines running along the street, and a few cars parked on the side. The street is lined with trees on both sides, and there are a few people walking on the sidewalk. The sky is overcast, and the overall mood of the photograph is bleak and desolate."
Water Colors LCCN2016823648 (8352b407).jpg,"The image is a black and white photograph of a street scene. The photograph is framed in a black wooden frame with a white matting. The focal point of the photograph is a large tree with bare branches on the left side of the frame. The tree is in the center of the image, with a sidewalk in front of it. On the sidewalk, there are a few people walking on the sidewalk and a lamppost on the right side. In the background, there is a building with columns and arched windows. The building appears to be a two-story structure with a large front porch and a balcony on the second floor. The sky is overcast and the ground is covered in snow."
Children with camera LCCN2016820383 (53a7e16d).jpg,"The image is a black and white photograph of three young children, two boys and a girl, standing on a grassy lawn in a park. The girl is on the left side of the image, holding a small camera and looking at it intently. She is wearing a long coat, a hat, and knee-high socks. The boy in the middle is standing next to her, wearing a suit and tie, and the boy on the right is sitting on a pedestal. All three children are wearing hats and jackets. In the background, there is a building with arches and trees. The photograph appears to be from the early 20th century."
